Диапазон_размера,Компания,Цена,Наименование,ГОСТ,Диаметр,Размер,Город
108-219,Новосталь-Маркет,63240.0,Труба б/ш г/д,ГОСТ 8732-78,168.0,168х8,Москва
108-219,Сталепромышленная компания,143000.0,Труба б/ш г/д,ГОСТ 8732-78,219.0,219х8,Москва
108-219,Стройбаза,130000.0,Труба б/ш г/д,,219.0,219х6,Москва
108-219,ТрастИнвестСтрой,62000.0,Труба б/ш г/д,ГОСТ 8732-78,219.0,219х14,Москва
108-219,УТК-Сталь,530000.0,Труба э/с,,219.0,219х5,Москва
25-32,Новосталь-Маркет,62220.0,Труба ВГП,ГОСТ 3262-75,32.0,32х2.8,Москва
25-32,Омега Металл,800.0,Труба э/с,,25.0,25х2.5,Москва
25-32,Сталепромышленная компания,63000.0,Труба ВГП,ГОСТ 3262-75,32.0,32х2.8,Москва
25-32,ТрастИнвестСтрой,65000.0,Труба ВГП,ГОСТ 3262-75,25.0,25х2.8,Москва
25-32,УТК-Сталь,578000.0,Труба э/с,,28.0,28х4,Москва
273-325,Новосталь-Маркет,68340.0,Труба б/ш г/д,ГОСТ 8732-78,273.0,273х10,Москва
273-325,Сталепромышленная компания,120000.0,Труба б/ш г/д,ГОСТ 8732-78,325.0,325х8,Москва
273-325,ТрастИнвестСтрой,65000.0,Труба б/ш г/д,ГОСТ 8732-78,273.0,273х6,Москва
273-325,УТК-Сталь,588000.0,Труба э/с,,273.0,273х10,Москва
40-100,Мечел-Сервис,62800.0,Труба ВГП,,40.0,40х3.5,Москва
40-100,Новосталь-Маркет,45900.0,Труба ВГП,ГОСТ 3262-75,50.0,50х3,Москва
40-100,Омега Металл,450.0,Труба э/с,,42.4,42.4х1.5,Москва
40-100,Сталепромышленная компания,60500.0,Труба ВГП,ГОСТ 3262-75,50.0,50х3,Москва
40-100,Стройбаза,100000.0,Труба б/ш г/д,,45.0,45х12,Москва
40-100,ТрастИнвестСтрой,60000.0,Труба ВГП,ГОСТ 3262-75,40.0,40х3.5,Москва
40-100,УТК-Сталь,850.0,Труба э/с,EN 10217-7,40.0,40х2.5,Москва
426-530,Новосталь-Маркет,76500.0,Труба б/ш г/д,ГОСТ 8732-78,426.0,426х12,Москва
426-530,Сталепромышленная компания,120000.0,Труба б/ш г/д,ГОСТ 8732-78,426.0,426х9,Москва
426-530,ТрастИнвестСтрой,80500.0,Труба б/ш г/д,ГОСТ 8732-78,426.0,426х8,Москва
426-530,УТК-Сталь,713000.0,Труба э/с,,426.0,426х10,Москва
57-159,Новосталь-Маркет,56100.0,Труба б/ш г/д,ГОСТ 8732-78,108.0,108х4,Москва
57-159,Сталепромышленная компания,59500.0,Труба б/ш г/д,ГОСТ 8732-78,159.0,159х6,Москва
57-159,ТрастИнвестСтрой,65000.0,Труба б/ш г/д,ГОСТ 8732-78,108.0,108х4.5,Москва
57-159,УТК-Сталь,525000.0,Труба э/с,,108.0,108х4,Москва
вне диапазонов,Новосталь-Маркет,60690.0,Труба ВГП,ГОСТ 3262-75,15.0,15х2.5,Москва
вне диапазонов,Сталепромышленная компания,63000.0,Труба ВГП,ГОСТ 3262-75,20.0,20х2.8,Москва
вне диапазонов,ТрастИнвестСтрой,62000.0,Труба ВГП,ГОСТ 3262-75,15.0,15х2.8,Москва
вне диапазонов,УТК-Сталь,365.0,Труба э/с,EN 10217-7,20.0,20х3.5,Москва
до 10,ТрастИнвестСтрой,167000.0,Труба ВГП,ГОСТ 3262-75,10.0,10х2.8,Москва
до 10,УТК-Сталь,725000.0,Труба э/с,,8.0,8х2,Москва
